7,0.293213,0.001065,-0.029827,0.035154
-0.945312,-0.302979,0.104126,-0.762730,-0.084156,-0.141680
-1.014526,-0.323975,0.153564,-0.656203,-0.080960,-0.070307
-1.025879,-0.232910,0.184814,-0.491087,-0.044741,0.004261
-1.002930,-0.141479,0.198120,-0.392017,0.003196,0.095874
-1.020752,-0.093506,0.224121,-0.454868,0.049002,0.297209
-1.012207,-0.119629,0.231323,-0.501740,0.056459,0.177899
-1.017334,-0.122070,0.228882,-0.466586,0.051133,0.213053
-0.982422,-0.121826,0.220337,-0.374973,0.046872,0.211988
-0.938721,-0.113037,0.227905,-0.220510,0.051133,0.157659
-0.938232,-0.041382,0.260376,-0.042611,0.050067,0.138484
-0.964600,0.030884,0.265503,0.013848,0.043676,0.145941
-0.970215,-0.052490,0.276855,0.014914,0.017044,0.086286
-0.956299,-0.106079,0.286743,0.145941,-0.036219,0.060720
-0.950806,-0.077515,0.263672,0.274838,-0.053263,0.102265
-0.963867,-0.038574,0.246216,0.463390,-0.029827,0.107592
-1.032959,-0.076660,0.235596,0.483630,-0.068177,0.094809
-1.018921,-0.062622,0.232300,0.427171,-0.103331,0.091613
-0.972534,0.006592,0.240356,0.194943,-0.080960,0.111853
-0.973267,-0.007080,0.275391,-0.083091,-0.039415,0.110788
-0.985962,-0.049805,0.293457,-0.219445,-0.026632,0.159790
-0.994263,-0.058960,0.297241,-0.217314,-0.044741,0.185356
-1.013062,-0.054932,0.286865,-0.100135,-0.094809,0.206661
-0.993286,-0.066040,0.230591,0.054329,-0.124636,0.211988
-0.945068,-0.065430,0.222900,0.137419,-0.112918,0.169377
-0.983521,-0.033081,0.270752,0.141680,-0.102265,0.151268
-1.013184,-0.018188,0.284668,0.099070,-0.111853,0.156594
-1.015991,0.017090,0.283569,0.041545,-0.121440,0.183226
-1.001953,0.023926,0.293579,0.029827,-0.135289,0.199205
-1.002319,-0.006348,0.288452,0.077764,-0.160855,0.206661
-1.002808,-0.019409,0.267700,0.166181,-0.190682,0.207727
-0.959595,0.007446,0.262695,0.156594,-0.194943,0.241815
-0.940308,0.120361,0.250488,-0.022371,-0.165116,0.284426
-0.959106,0.138672,0.275146,-0.357929,-0.129962,0.201335
-0.980591,0.025635,0.304443,-0.632767,-0.142745,0.181095
-0.960449,-0.060547,0.309448,-0.523045,-0.150202,0.201335
